person_id,movie_id,category_id,year_ceremony,ceremony
3894,45317,23,2011,83
524,44214,68,2011,83
6832,45317,24,2011,83
70500,45269,9,2011,83
56024,74643,67,2012,84
290,55347,23,2012,84
5064,71688,68,2012,84
6944,50014,24,2012,84
67717,74643,9,2012,84
11856,72976,67,2013,85
27319,68718,23,2013,85
72129,82693,68,2013,85
1813,82695,24,2013,85
1614,87827,9,2013,85
10297,152532,67,2014,86
7499,152532,23,2014,86
112,160588,68,2014,86
1267329,76203,24,2014,86
11218,49047,9,2014,86
37632,266856,67,2015,87
18999,244786,23,2015,87
1231,284293,68,2015,87
4687,85350,24,2015,87
223,194662,9,2015,87
6193,281957,67,2016,88
40900,296098,23,2016,88
60073,264644,68,2016,88
227454,306819,24,2016,88
223,281957,9,2016,88
1893,334541,67,2017,89
932967,376867,23,2017,89
54693,313369,68,2017,89
19492,393457,24,2017,89
136495,313369,9,2017,89
64,399404,67,2018,90
6807,359940,23,2018,90
3910,359940,68,2018,90
19,389015,24,2018,90
10828,399055,9,2018,90
17838,424694,67,2019,91
932967,490132,23,2019,91
39187,375262,68,2019,91
9788,465914,24,2019,91
11218,426426,9,2019,91
73421,475557,67,2020,92
287,466272,23,2020,92
9137,491283,68,2020,92
4784,492188,24,2020,92
21684,496243,9,2020,92
4173,600354,67,2021,93
206919,583406,23,2021,93
3910,581734,68,2021,93
1080935,615643,24,2021,93
1395183,581734,9,2021,93
2888,614917,67,2022,94
1571661,776503,23,2022,94
83002,601470,68,2022,94
1437491,511809,24,2022,94
10757,600583,9,2022,94
18269,785084,67,2023,95
690,545611,23,2023,95
1620,545611,68,2023,95
8944,545611,24,2023,95
1383612,545611,9,2023,95
1317730,545611,9,2023,95
2037,872585,67,2024,96
3223,872585,23,2024,96
54693,792307,68,2024,96
1180099,840430,24,2024,96
525,872585,9,2024,96
