movie_id,director_id
43039,14227
220905,1058682
243193,2264238
11209,4165
2134,21869
821,4081
1725,18868
1725,1744
24167,12329
990,14875
439,4415
114507,3457232
243209,1678247
11602,6648
164,1927
128960,1088228
243202,1279463
10911,18669
28569,2746
595,8482
33632,3632
1162,6448
947,12238
9289,35318
9289,57142
9289,9894
9289,8626
9289,8502
10242,18392
28367,39743
28367,21869
966674,576434
243234,1278335
43001,605481
13671,87521
32488,1927
234523,1035385
139592,9747
139592,548816
20271,95040
38805,16888
24748,18854
37222,32919
47249,2746
8095,10601
422,4415
5769,32765
114509,227525
243247,1278339
11897,37360
11897,8500
11897,19093
2690,3146
74088,19093
146320,127333
53218,32012
11576,4081
11113,14674
5052,14227
433,5834
10604,65843
14703,6593
91288,230786
243260,46614
42801,12329
149193,930633
149193,121216
243253,9220
658,9915
15421,86659
30295,16888
11694,70262
42731,15671
24134,19304
33364,67619
30080,4081
907,12238
15121,1744
114510,270217
243283,1128329
243283,96814
25905,544700
25905,544699
77915,13980
84617,100888
34063,20718
11575,1927
660,9855
874,4065
1888,3146
396,5342
2161,2087
26508,95568
243295,1278319
20379,13776
42726,16862
15347,126462
15347,45258
17768,10586
209505,1035385
243289,1278348
243289,1192070
10633,13563
903,13859
1879,4081
475,6448
18978,86051
37247,5342
66569,24492
243314,1568428
789,11720
32489,9577
16081,2087
205704,90302
243307,1193183
1654,18392
29146,16888
118872,140354
18988,12009
16085,10001
805,3556
17917,15378
6003,24657
114511,1146722
72585,19460
916,12804
29266,38131
912,13563
81310,57314
243319,46614
62,240
30197,14639
17529,37360
28145,2226
5179,7501
28289,69300
14030,13294
642,9577
22522,29646
3116,19304
114512,1146724
114512,1146725
154645,56926
154645,96909
2721,27436
58143,109453
243329,2784502
40140,14520
11202,13265
38953,12238
66027,32327
10671,24939
31675,70308
9459,57885
183859,229373
26451,95456
9062,133259
20556,125543
42593,1077512
209535,985026
107486,1041638
11165,68412
11165,2087
11165,31074
651,9789
1051,15175
25188,39012
466,6349
38646,13265
14811,13563
17875,7765
17875,82444
243349,1105738
4789,12329
41357,8482
482,6558
185399,1168100
12335,5834
32082,133259
238,1776
10784,66777
55106,213341
5183,14674
38616,15076
38616,15149
243368,1278333
4593,793
28971,13848
551,7501
46126,116100
243364,229711
21711,12964
38714,16513
14328,14838
42458,50567
11293,39012
9277,9577
10238,6648
114513,75590
243380,1247139
243380,1245599
1675,1650
10236,2226
147199,1125542
147199,1125541
243375,2535587
243375,1468019
9552,15175
42448,47773
240,1776
16153,1032
4176,39996
5919,6778
11034,25630
42449,2613476
8290,11195
7857,4415
48277,60220
48277,1100024
243386,1964
243386,1149593
11123,19457
829,3556
510,3974
16561,18378
31121,4964
3175,240
37339,117468
37339,84614
72494,12150
578,488
9764,5026
3121,9789
208561,112090
243402,201451
968,39996
10774,39996
891,6349
42232,4964
42236,4415
1366,16513
33324,22020
243586,2234198
243586,92443
42238,2352
794,7187
19610,13861
207437,1190311
243579,30477
14741,18378
42222,4065
703,1243
11,1
840,488
114514,19744
243605,2406333
42223,545021
77078,965039
42231,1121299
148514,1127797
127390,1084435
31657,4964
11778,12114
26686,18378
12185,7795
12185,6449
16642,30715
4192,6778
92215,1240173
243623,136238
4267,34262
24153,54590
11327,9168
42212,55273
48346,1194568
48346,1194569
243616,18596
12102,6729
10322,4964
40842,18854
16858,66777
28,1776
42165,1380238
113745,1057679
659,10249
20813,9577
48274,1068380
244350,1229728
348,578
20283,12804
1578,1032
16619,4135
16769,10781
38772,16294
11121,3556
113815,118441
244373,1279650
244373,3451716
21028,23442
3537,9168
47466,1203291
244363,5058
1891,10930
11816,21958
13665,122944
18254,6449
85,488
9443,58220
114516,1146734
244396,78654
11911,225898
814,4610
90781,142449
244391,194702
783,4786
2623,18596
15764,6349
9576,2226
114517,253933
244415,953529
81346,103511
62204,2352
601,488
12614,1927
48496,83865
244404,586691
15600,27436
42121,5696
11050,3388
11541,2690
5961,6648
114520,716
244449,1078813
9549,648
10269,10400
535,7270
210972,1194777
244440,168782
279,3974
625,8965
13681,6729
15927,12238
33138,109402
244656,1279924
244656,2030463
46088,134733
13763,58729
5968,3460
48276,1193586
311,4385
87,488
11703,40542
10328,6159
47908,71732
2075,6593
606,2226
11645,5026
44889,1146739
44889,1146740
244670,213253
9281,2690
29263,69315
11177,39012
16082,18596
220343,126951
244664,1219790
105,24
11873,1032
5143,1243
1890,19798
11257,54441
11416,8965
792,1152
114521,237943
114522,30123
115505,1279685
2753,27866
9426,224
14670,20556
744,893
48698,1193491
147081,44931
679,2710
10673,1152
117,1150
2039,13563
746,4956
182561,1095862
244690,1279971
244690,1279970
11832,70636
8989,56506
88,716
49565,142449
211375,122583
2614,4600
380,8246
623,8929
10868,42171
31052,8844
859,3224
1632,9168
41954,19789
244701,87091
244701,1106092
856,24
11174,19684
4011,510
13482,4135
3525,5342
13927,7879
47057,15002
24679,190
10161,53334
9665,9181
403,5696
268,510
10705,11181
2604,1152
114524,109402
114524,109403
244712,46614
11216,65314
10144,15811
10144,15810
44338,550478
44338,550477
244708,162482
89,488
2756,2710
207,2690
38718,23393
769,1032
1700,3026
251,3415
8592,6449
581,1269
11673,25950
41326,22020
244724,110962
41834,65874
54825,7314
44231,160177
1669,1090
274,16294
1406,33485
177,280
10337,8246
820,1152
114525,940662
114525,954838
244733,1091926
38251,55916
280,2710
10020,62048
10020,62047
47207,1107465
244729,1280006
1541,578
9475,769
33,190
8293,54441
10377,21217
293,4135
6114,1776
41773,1059121
244749,226549
244749,3222117
2731,27614
812,15811
812,15810
188425,1341769
244740,76826
9361,638
9374,24
11386,17016
9800,16294
5503,12989
713,10757
424,488
10436,1032
114526,1059122
114526,1076768
244864,1280113
244864,1280114
2470,37526
788,10965
531,7314
162503,36417
329,488
13,24
522,510
57834,32765
11382,1243
11318,55476
4476,9181
2759,27889
85778,223825
244878,46614
50797,82796
8587,15812
8587,18898
48273,1191229
48273,1191230
47981,12982
113454,56947
1637,2209
680,138
451,6111
629,9032
687,504
11448,1243
35196,52405
197,2461
51352,82293
57130,1062945
568,6159
880,13496
11010,28898
10530,65530
10530,65531
532,7314
244887,77133
9598,58137
4584,1614
7863,33433
9390,11649
275,1223
275,1224
409,2239
10548,65608
244906,19509
784,11688
9327,4499
3573,32983
8818,9168
93114,996681
244901,5065
10586,2042
602,6046
12498,879
2898,3388
489,5216
2118,323
597,2710
113290,1036428
244919,1280151
17139,123150
607,5174
9427,57630
13929,7930
244914,45329
637,4818
31662,1035
1934,18844
857,488
20595,127027
244937,1280157
4518,37630
9837,59803
9837,44113
9837,21879
48610,5713
93980,1012
12159,9198
3033,15557
14,39
1715,5306
226,2836
3558,366
2668,510
46435,65452
34045,17350
244949,1513182
244949,1513183
603,9340
603,9339
99,309
14283,78012
37135,15774
37135,15775
38577,126421
244942,1273246
98,578
1900,1884
462,1884
12509,228
146,1614
58062,1036428
244965,1280165
8871,6159
11004,323
48617,935705
244954,46680
3536,7213
786,11649
2034,20907
11889,36693
1365,12995
453,6159
808,12058
808,5524
824,6201
120,108
51391,937129
87292,15149
855,578
8342,20028
585,12890
13930,7883
36733,1472
676,865
5279,9789
